table_name,rls_enabled,rls_forced
admin_users,true,false
assets,true,false
broadcast_emails,true,false
companies,true,false
compliance_items,true,false
contractor_availability_overrides,true,false
contractor_credentials,true,false
contractor_panel,true,false
enquiry_measurements,true,false
favourites,true,false
gdpr_erasure_log,true,false
job_assignments,true,false
job_conversations,true,false
job_message_notifications,true,false
job_messages,true,false
job_scheduling_proposals,true,false
payments,true,false
profile_widgets,true,false
project_change_requests,true,false
project_contracts,true,false
project_events,true,false
project_jobs,true,false
project_members,true,false
project_notes,true,false
project_proposals,true,false
project_qanda,true,false
project_sign_offs,true,false
project_snags,true,false
project_updates,true,false
projects,true,false
proposal_attachments,true,false
service_contracts,true,false
service_documents,true,false
service_schedules,true,false
service_visits,true,false
sla_breaches,true,false
sla_rules,true,false