table_name,grantee,privilege_type
admin_users,anon,DELETE
admin_users,anon,INSERT
admin_users,anon,REFERENCES
admin_users,anon,SELECT
admin_users,anon,TRIGGER
admin_users,anon,TRUNCATE
admin_users,anon,UPDATE
admin_users,authenticated,DELETE
admin_users,authenticated,INSERT
admin_users,authenticated,REFERENCES
admin_users,authenticated,SELECT
admin_users,authenticated,TRIGGER
admin_users,authenticated,TRUNCATE
admin_users,authenticated,UPDATE
admin_users,service_role,DELETE
admin_users,service_role,INSERT
admin_users,service_role,REFERENCES
admin_users,service_role,SELECT
admin_users,service_role,TRIGGER
admin_users,service_role,TRUNCATE
admin_users,service_role,UPDATE
assets,anon,DELETE
assets,anon,INSERT
assets,anon,REFERENCES
assets,anon,SELECT
assets,anon,TRIGGER
assets,anon,TRUNCATE
assets,anon,UPDATE
assets,authenticated,DELETE
assets,authenticated,INSERT
assets,authenticated,REFERENCES
assets,authenticated,SELECT
assets,authenticated,TRIGGER
assets,authenticated,TRUNCATE
assets,authenticated,UPDATE
assets,service_role,DELETE
assets,service_role,INSERT
assets,service_role,REFERENCES
assets,service_role,SELECT
assets,service_role,TRIGGER
assets,service_role,TRUNCATE
assets,service_role,UPDATE
broadcast_emails,anon,DELETE
broadcast_emails,anon,INSERT
broadcast_emails,anon,REFERENCES
broadcast_emails,anon,SELECT
broadcast_emails,anon,TRIGGER
broadcast_emails,anon,TRUNCATE
broadcast_emails,anon,UPDATE
broadcast_emails,authenticated,DELETE
broadcast_emails,authenticated,INSERT
broadcast_emails,authenticated,REFERENCES
broadcast_emails,authenticated,SELECT
broadcast_emails,authenticated,TRIGGER
broadcast_emails,authenticated,TRUNCATE
broadcast_emails,authenticated,UPDATE
broadcast_emails,service_role,DELETE
broadcast_emails,service_role,INSERT
broadcast_emails,service_role,REFERENCES
broadcast_emails,service_role,SELECT
broadcast_emails,service_role,TRIGGER
broadcast_emails,service_role,TRUNCATE
broadcast_emails,service_role,UPDATE
companies,anon,DELETE
companies,anon,INSERT
companies,anon,REFERENCES
companies,anon,SELECT
companies,anon,TRIGGER
companies,anon,TRUNCATE
companies,anon,UPDATE
companies,authenticated,DELETE
companies,authenticated,INSERT
companies,authenticated,REFERENCES
companies,authenticated,SELECT
companies,authenticated,TRIGGER
companies,authenticated,TRUNCATE
companies,authenticated,UPDATE
companies,service_role,DELETE
companies,service_role,INSERT
companies,service_role,REFERENCES
companies,service_role,SELECT
companies,service_role,TRIGGER
companies,service_role,TRUNCATE
companies,service_role,UPDATE
compliance_items,anon,DELETE
compliance_items,anon,INSERT
compliance_items,anon,REFERENCES
compliance_items,anon,SELECT
compliance_items,anon,TRIGGER
compliance_items,anon,TRUNCATE
compliance_items,anon,UPDATE
compliance_items,authenticated,DELETE
compliance_items,authenticated,INSERT
compliance_items,authenticated,REFERENCES
compliance_items,authenticated,SELECT
compliance_items,authenticated,TRIGGER
compliance_items,authenticated,TRUNCATE
compliance_items,authenticated,UPDATE
compliance_items,service_role,DELETE
compliance_items,service_role,INSERT
compliance_items,service_role,REFERENCES
compliance_items,service_role,SELECT
compliance_items,service_role,TRIGGER
compliance_items,service_role,TRUNCATE
compliance_items,service_role,UPDATE
contractor_availability_overrides,anon,DELETE
contractor_availability_overrides,anon,INSERT
contractor_availability_overrides,anon,REFERENCES
contractor_availability_overrides,anon,SELECT
contractor_availability_overrides,anon,TRIGGER
contractor_availability_overrides,anon,TRUNCATE
contractor_availability_overrides,anon,UPDATE
contractor_availability_overrides,authenticated,DELETE
contractor_availability_overrides,authenticated,INSERT
contractor_availability_overrides,authenticated,REFERENCES
contractor_availability_overrides,authenticated,SELECT
contractor_availability_overrides,authenticated,TRIGGER
contractor_availability_overrides,authenticated,TRUNCATE
contractor_availability_overrides,authenticated,UPDATE
contractor_availability_overrides,service_role,DELETE
contractor_availability_overrides,service_role,INSERT
contractor_availability_overrides,service_role,REFERENCES
contractor_availability_overrides,service_role,SELECT
contractor_availability_overrides,service_role,TRIGGER
contractor_availability_overrides,service_role,TRUNCATE
contractor_availability_overrides,service_role,UPDATE
contractor_credentials,anon,DELETE
contractor_credentials,anon,INSERT
contractor_credentials,anon,REFERENCES
contractor_credentials,anon,SELECT
contractor_credentials,anon,TRIGGER
contractor_credentials,anon,TRUNCATE
contractor_credentials,anon,UPDATE
contractor_credentials,authenticated,DELETE
contractor_credentials,authenticated,INSERT
contractor_credentials,authenticated,REFERENCES
contractor_credentials,authenticated,SELECT
contractor_credentials,authenticated,TRIGGER
contractor_credentials,authenticated,TRUNCATE
contractor_credentials,authenticated,UPDATE
contractor_credentials,service_role,DELETE
contractor_credentials,service_role,INSERT
contractor_credentials,service_role,REFERENCES
contractor_credentials,service_role,SELECT
contractor_credentials,service_role,TRIGGER
contractor_credentials,service_role,TRUNCATE
contractor_credentials,service_role,UPDATE
contractor_panel,anon,DELETE
contractor_panel,anon,INSERT
contractor_panel,anon,REFERENCES
contractor_panel,anon,SELECT
contractor_panel,anon,TRIGGER
contractor_panel,anon,TRUNCATE
contractor_panel,anon,UPDATE
contractor_panel,authenticated,DELETE
contractor_panel,authenticated,INSERT
contractor_panel,authenticated,REFERENCES
contractor_panel,authenticated,SELECT
contractor_panel,authenticated,TRIGGER
contractor_panel,authenticated,TRUNCATE
contractor_panel,authenticated,UPDATE
contractor_panel,service_role,DELETE
contractor_panel,service_role,INSERT
contractor_panel,service_role,REFERENCES
contractor_panel,service_role,SELECT
contractor_panel,service_role,TRIGGER
contractor_panel,service_role,TRUNCATE
contractor_panel,service_role,UPDATE
enquiry_measurements,anon,DELETE
enquiry_measurements,anon,INSERT
enquiry_measurements,anon,REFERENCES
enquiry_measurements,anon,SELECT
enquiry_measurements,anon,TRIGGER
enquiry_measurements,anon,TRUNCATE
enquiry_measurements,anon,UPDATE
enquiry_measurements,authenticated,DELETE
enquiry_measurements,authenticated,INSERT
enquiry_measurements,authenticated,REFERENCES
enquiry_measurements,authenticated,SELECT
enquiry_measurements,authenticated,TRIGGER
enquiry_measurements,authenticated,TRUNCATE
enquiry_measurements,authenticated,UPDATE
enquiry_measurements,service_role,DELETE
enquiry_measurements,service_role,INSERT
enquiry_measurements,service_role,REFERENCES
enquiry_measurements,service_role,SELECT
enquiry_measurements,service_role,TRIGGER
enquiry_measurements,service_role,TRUNCATE
enquiry_measurements,service_role,UPDATE
favourites,anon,DELETE
favourites,anon,INSERT
favourites,anon,REFERENCES
favourites,anon,SELECT
favourites,anon,TRIGGER
favourites,anon,TRUNCATE
favourites,anon,UPDATE
favourites,authenticated,DELETE
favourites,authenticated,INSERT
favourites,authenticated,REFERENCES
favourites,authenticated,SELECT
favourites,authenticated,TRIGGER
favourites,authenticated,TRUNCATE
favourites,authenticated,UPDATE
favourites,service_role,DELETE
favourites,service_role,INSERT
favourites,service_role,REFERENCES
favourites,service_role,SELECT
favourites,service_role,TRIGGER
favourites,service_role,TRUNCATE
favourites,service_role,UPDATE
gdpr_erasure_log,anon,DELETE
gdpr_erasure_log,anon,INSERT
gdpr_erasure_log,anon,REFERENCES
gdpr_erasure_log,anon,SELECT
gdpr_erasure_log,anon,TRIGGER
gdpr_erasure_log,anon,TRUNCATE
gdpr_erasure_log,anon,UPDATE
gdpr_erasure_log,authenticated,DELETE
gdpr_erasure_log,authenticated,INSERT
gdpr_erasure_log,authenticated,REFERENCES
gdpr_erasure_log,authenticated,SELECT
gdpr_erasure_log,authenticated,TRIGGER
gdpr_erasure_log,authenticated,TRUNCATE
gdpr_erasure_log,authenticated,UPDATE
gdpr_erasure_log,service_role,DELETE
gdpr_erasure_log,service_role,INSERT
gdpr_erasure_log,service_role,REFERENCES
gdpr_erasure_log,service_role,SELECT
gdpr_erasure_log,service_role,TRIGGER
gdpr_erasure_log,service_role,TRUNCATE
gdpr_erasure_log,service_role,UPDATE
job_assignments,anon,DELETE
job_assignments,anon,INSERT
job_assignments,anon,REFERENCES
job_assignments,anon,SELECT
job_assignments,anon,TRIGGER
job_assignments,anon,TRUNCATE
job_assignments,anon,UPDATE
job_assignments,authenticated,DELETE
job_assignments,authenticated,INSERT
job_assignments,authenticated,REFERENCES
job_assignments,authenticated,SELECT
job_assignments,authenticated,TRIGGER
job_assignments,authenticated,TRUNCATE
job_assignments,authenticated,UPDATE
job_assignments,service_role,DELETE
job_assignments,service_role,INSERT
job_assignments,service_role,REFERENCES
job_assignments,service_role,SELECT
job_assignments,service_role,TRIGGER
job_assignments,service_role,TRUNCATE
job_assignments,service_role,UPDATE
job_conversations,anon,DELETE
job_conversations,anon,INSERT
job_conversations,anon,REFERENCES
job_conversations,anon,SELECT
job_conversations,anon,TRIGGER
job_conversations,anon,TRUNCATE
job_conversations,anon,UPDATE
job_conversations,authenticated,DELETE
job_conversations,authenticated,INSERT
job_conversations,authenticated,REFERENCES
job_conversations,authenticated,SELECT
job_conversations,authenticated,TRIGGER
job_conversations,authenticated,TRUNCATE
job_conversations,authenticated,UPDATE
job_conversations,service_role,DELETE
job_conversations,service_role,INSERT
job_conversations,service_role,REFERENCES
job_conversations,service_role,SELECT
job_conversations,service_role,TRIGGER
job_conversations,service_role,TRUNCATE
job_conversations,service_role,UPDATE
job_message_notifications,anon,DELETE
job_message_notifications,anon,INSERT
job_message_notifications,anon,REFERENCES
job_message_notifications,anon,SELECT
job_message_notifications,anon,TRIGGER
job_message_notifications,anon,TRUNCATE
job_message_notifications,anon,UPDATE
job_message_notifications,authenticated,DELETE
job_message_notifications,authenticated,INSERT
job_message_notifications,authenticated,REFERENCES
job_message_notifications,authenticated,SELECT
job_message_notifications,authenticated,TRIGGER
job_message_notifications,authenticated,TRUNCATE
job_message_notifications,authenticated,UPDATE
job_message_notifications,service_role,DELETE
job_message_notifications,service_role,INSERT
job_message_notifications,service_role,REFERENCES
job_message_notifications,service_role,SELECT
job_message_notifications,service_role,TRIGGER
job_message_notifications,service_role,TRUNCATE
job_message_notifications,service_role,UPDATE
job_messages,anon,DELETE
job_messages,anon,INSERT
job_messages,anon,REFERENCES
job_messages,anon,SELECT
job_messages,anon,TRIGGER
job_messages,anon,TRUNCATE
job_messages,anon,UPDATE
job_messages,authenticated,DELETE
job_messages,authenticated,INSERT
job_messages,authenticated,REFERENCES
job_messages,authenticated,SELECT
job_messages,authenticated,TRIGGER
job_messages,authenticated,TRUNCATE
job_messages,authenticated,UPDATE
job_messages,service_role,DELETE
job_messages,service_role,INSERT
job_messages,service_role,REFERENCES
job_messages,service_role,SELECT
job_messages,service_role,TRIGGER
job_messages,service_role,TRUNCATE
job_messages,service_role,UPDATE
job_scheduling_proposals,anon,DELETE
job_scheduling_proposals,anon,INSERT
job_scheduling_proposals,anon,REFERENCES
job_scheduling_proposals,anon,SELECT
job_scheduling_proposals,anon,TRIGGER
job_scheduling_proposals,anon,TRUNCATE
job_scheduling_proposals,anon,UPDATE
job_scheduling_proposals,authenticated,DELETE
job_scheduling_proposals,authenticated,INSERT
job_scheduling_proposals,authenticated,REFERENCES
job_scheduling_proposals,authenticated,SELECT
job_scheduling_proposals,authenticated,TRIGGER
job_scheduling_proposals,authenticated,TRUNCATE
job_scheduling_proposals,authenticated,UPDATE
job_scheduling_proposals,service_role,DELETE
job_scheduling_proposals,service_role,INSERT
job_scheduling_proposals,service_role,REFERENCES
job_scheduling_proposals,service_role,SELECT
job_scheduling_proposals,service_role,TRIGGER
job_scheduling_proposals,service_role,TRUNCATE
job_scheduling_proposals,service_role,UPDATE
payments,anon,DELETE
payments,anon,INSERT
payments,anon,REFERENCES
payments,anon,SELECT
payments,anon,TRIGGER
payments,anon,TRUNCATE
payments,anon,UPDATE
payments,authenticated,DELETE
payments,authenticated,INSERT
payments,authenticated,REFERENCES
payments,authenticated,SELECT
payments,authenticated,TRIGGER
payments,authenticated,TRUNCATE
payments,authenticated,UPDATE
payments,service_role,DELETE
payments,service_role,INSERT
payments,service_role,REFERENCES
payments,service_role,SELECT
payments,service_role,TRIGGER
payments,service_role,TRUNCATE
payments,service_role,UPDATE
profile_widgets,anon,DELETE
profile_widgets,anon,INSERT
profile_widgets,anon,REFERENCES
profile_widgets,anon,SELECT
profile_widgets,anon,TRIGGER
profile_widgets,anon,TRUNCATE
profile_widgets,anon,UPDATE
profile_widgets,authenticated,DELETE
profile_widgets,authenticated,INSERT
profile_widgets,authenticated,REFERENCES
profile_widgets,authenticated,SELECT
profile_widgets,authenticated,TRIGGER
profile_widgets,authenticated,TRUNCATE
profile_widgets,authenticated,UPDATE
profile_widgets,service_role,DELETE
profile_widgets,service_role,INSERT
profile_widgets,service_role,REFERENCES
profile_widgets,service_role,SELECT
profile_widgets,service_role,TRIGGER
profile_widgets,service_role,TRUNCATE
profile_widgets,service_role,UPDATE
project_change_requests,anon,DELETE
project_change_requests,anon,INSERT
project_change_requests,anon,REFERENCES
project_change_requests,anon,SELECT
project_change_requests,anon,TRIGGER
project_change_requests,anon,TRUNCATE
project_change_requests,anon,UPDATE
project_change_requests,authenticated,DELETE
project_change_requests,authenticated,INSERT
project_change_requests,authenticated,REFERENCES
project_change_requests,authenticated,SELECT
project_change_requests,authenticated,TRIGGER
project_change_requests,authenticated,TRUNCATE
project_change_requests,authenticated,UPDATE
project_change_requests,service_role,DELETE
project_change_requests,service_role,INSERT
project_change_requests,service_role,REFERENCES
project_change_requests,service_role,SELECT
project_change_requests,service_role,TRIGGER
project_change_requests,service_role,TRUNCATE
project_change_requests,service_role,UPDATE
project_contracts,anon,DELETE
project_contracts,anon,INSERT
project_contracts,anon,REFERENCES
project_contracts,anon,SELECT
project_contracts,anon,TRIGGER
project_contracts,anon,TRUNCATE
project_contracts,anon,UPDATE
project_contracts,authenticated,DELETE
project_contracts,authenticated,INSERT
project_contracts,authenticated,REFERENCES
project_contracts,authenticated,SELECT
project_contracts,authenticated,TRIGGER
project_contracts,authenticated,TRUNCATE
project_contracts,authenticated,UPDATE
project_contracts,service_role,DELETE
project_contracts,service_role,INSERT
project_contracts,service_role,REFERENCES
project_contracts,service_role,SELECT
project_contracts,service_role,TRIGGER
project_contracts,service_role,TRUNCATE
project_contracts,service_role,UPDATE
project_events,anon,DELETE
project_events,anon,INSERT
project_events,anon,REFERENCES
project_events,anon,SELECT
project_events,anon,TRIGGER
project_events,anon,TRUNCATE
project_events,anon,UPDATE
project_events,authenticated,DELETE
project_events,authenticated,INSERT
project_events,authenticated,REFERENCES
project_events,authenticated,SELECT
project_events,authenticated,TRIGGER
project_events,authenticated,TRUNCATE
project_events,authenticated,UPDATE
project_events,service_role,DELETE
project_events,service_role,INSERT
project_events,service_role,REFERENCES
project_events,service_role,SELECT
project_events,service_role,TRIGGER
project_events,service_role,TRUNCATE
project_events,service_role,UPDATE
project_jobs,anon,DELETE
project_jobs,anon,INSERT
project_jobs,anon,REFERENCES
project_jobs,anon,SELECT
project_jobs,anon,TRIGGER
project_jobs,anon,TRUNCATE
project_jobs,anon,UPDATE
project_jobs,authenticated,DELETE
project_jobs,authenticated,INSERT
project_jobs,authenticated,REFERENCES
project_jobs,authenticated,SELECT
project_jobs,authenticated,TRIGGER
project_jobs,authenticated,TRUNCATE
project_jobs,authenticated,UPDATE
project_jobs,service_role,DELETE
project_jobs,service_role,INSERT
project_jobs,service_role,REFERENCES
project_jobs,service_role,SELECT
project_jobs,service_role,TRIGGER
project_jobs,service_role,TRUNCATE
project_jobs,service_role,UPDATE
project_members,anon,DELETE
project_members,anon,INSERT
project_members,anon,REFERENCES
project_members,anon,SELECT
project_members,anon,TRIGGER
project_members,anon,TRUNCATE
project_members,anon,UPDATE
project_members,authenticated,DELETE
project_members,authenticated,INSERT
project_members,authenticated,REFERENCES
project_members,authenticated,SELECT
project_members,authenticated,TRIGGER
project_members,authenticated,TRUNCATE
project_members,authenticated,UPDATE
project_members,service_role,DELETE
project_members,service_role,INSERT
project_members,service_role,REFERENCES
project_members,service_role,SELECT
project_members,service_role,TRIGGER
project_members,service_role,TRUNCATE
project_members,service_role,UPDATE
project_notes,anon,DELETE
project_notes,anon,INSERT
project_notes,anon,REFERENCES
project_notes,anon,SELECT
project_notes,anon,TRIGGER
project_notes,anon,TRUNCATE
project_notes,anon,UPDATE
project_notes,authenticated,DELETE
project_notes,authenticated,INSERT
project_notes,authenticated,REFERENCES
project_notes,authenticated,SELECT
project_notes,authenticated,TRIGGER
project_notes,authenticated,TRUNCATE
project_notes,authenticated,UPDATE
project_notes,service_role,DELETE
project_notes,service_role,INSERT
project_notes,service_role,REFERENCES
project_notes,service_role,SELECT
project_notes,service_role,TRIGGER
project_notes,service_role,TRUNCATE
project_notes,service_role,UPDATE
project_proposals,anon,DELETE
project_proposals,anon,INSERT
project_proposals,anon,REFERENCES
project_proposals,anon,SELECT
project_proposals,anon,TRIGGER
project_proposals,anon,TRUNCATE
project_proposals,anon,UPDATE
project_proposals,authenticated,DELETE
project_proposals,authenticated,INSERT
project_proposals,authenticated,REFERENCES
project_proposals,authenticated,SELECT
project_proposals,authenticated,TRIGGER
project_proposals,authenticated,TRUNCATE
project_proposals,authenticated,UPDATE
project_proposals,service_role,DELETE
project_proposals,service_role,INSERT
project_proposals,service_role,REFERENCES
project_proposals,service_role,SELECT
project_proposals,service_role,TRIGGER
project_proposals,service_role,TRUNCATE
project_proposals,service_role,UPDATE
project_qanda,anon,DELETE
project_qanda,anon,INSERT
project_qanda,anon,REFERENCES
project_qanda,anon,SELECT
project_qanda,anon,TRIGGER
project_qanda,anon,TRUNCATE
project_qanda,anon,UPDATE
project_qanda,authenticated,DELETE
project_qanda,authenticated,INSERT
project_qanda,authenticated,REFERENCES
project_qanda,authenticated,SELECT
project_qanda,authenticated,TRIGGER
project_qanda,authenticated,TRUNCATE
project_qanda,authenticated,UPDATE
project_qanda,service_role,DELETE
project_qanda,service_role,INSERT
project_qanda,service_role,REFERENCES
project_qanda,service_role,SELECT
project_qanda,service_role,TRIGGER
project_qanda,service_role,TRUNCATE
project_qanda,service_role,UPDATE
project_sign_offs,anon,DELETE
project_sign_offs,anon,INSERT
project_sign_offs,anon,REFERENCES
project_sign_offs,anon,SELECT
project_sign_offs,anon,TRIGGER
project_sign_offs,anon,TRUNCATE
project_sign_offs,anon,UPDATE
project_sign_offs,authenticated,DELETE
project_sign_offs,authenticated,INSERT
project_sign_offs,authenticated,REFERENCES
project_sign_offs,authenticated,SELECT
project_sign_offs,authenticated,TRIGGER
project_sign_offs,authenticated,TRUNCATE
project_sign_offs,authenticated,UPDATE
project_sign_offs,service_role,DELETE
project_sign_offs,service_role,INSERT
project_sign_offs,service_role,REFERENCES
project_sign_offs,service_role,SELECT
project_sign_offs,service_role,TRIGGER
project_sign_offs,service_role,TRUNCATE
project_sign_offs,service_role,UPDATE
project_snags,anon,DELETE
project_snags,anon,INSERT
project_snags,anon,REFERENCES
project_snags,anon,SELECT
project_snags,anon,TRIGGER
project_snags,anon,TRUNCATE
project_snags,anon,UPDATE
project_snags,authenticated,DELETE
project_snags,authenticated,INSERT
project_snags,authenticated,REFERENCES
project_snags,authenticated,SELECT
project_snags,authenticated,TRIGGER
project_snags,authenticated,TRUNCATE
project_snags,authenticated,UPDATE
project_snags,service_role,DELETE
project_snags,service_role,INSERT
project_snags,service_role,REFERENCES
project_snags,service_role,SELECT
project_snags,service_role,TRIGGER
project_snags,service_role,TRUNCATE
project_snags,service_role,UPDATE
project_updates,anon,DELETE
project_updates,anon,INSERT
project_updates,anon,REFERENCES
project_updates,anon,SELECT
project_updates,anon,TRIGGER
project_updates,anon,TRUNCATE
project_updates,anon,UPDATE
project_updates,authenticated,DELETE
project_updates,authenticated,INSERT
project_updates,authenticated,REFERENCES
project_updates,authenticated,SELECT
project_updates,authenticated,TRIGGER
project_updates,authenticated,TRUNCATE
project_updates,authenticated,UPDATE
project_updates,service_role,DELETE
project_updates,service_role,INSERT
project_updates,service_role,REFERENCES
project_updates,service_role,SELECT
project_updates,service_role,TRIGGER
project_updates,service_role,TRUNCATE
project_updates,service_role,UPDATE
projects,anon,DELETE
projects,anon,INSERT
projects,anon,REFERENCES
projects,anon,SELECT
projects,anon,TRIGGER
projects,anon,TRUNCATE
projects,anon,UPDATE
projects,authenticated,DELETE
projects,authenticated,INSERT
projects,authenticated,REFERENCES
projects,authenticated,SELECT
projects,authenticated,TRIGGER
projects,authenticated,TRUNCATE
projects,authenticated,UPDATE
projects,service_role,DELETE
projects,service_role,INSERT
projects,service_role,REFERENCES
projects,service_role,SELECT
projects,service_role,TRIGGER
projects,service_role,TRUNCATE
projects,service_role,UPDATE
proposal_attachments,anon,DELETE
proposal_attachments,anon,INSERT
proposal_attachments,anon,REFERENCES
proposal_attachments,anon,SELECT
proposal_attachments,anon,TRIGGER
proposal_attachments,anon,TRUNCATE
proposal_attachments,anon,UPDATE
proposal_attachments,authenticated,DELETE
proposal_attachments,authenticated,INSERT
proposal_attachments,authenticated,REFERENCES
proposal_attachments,authenticated,SELECT
proposal_attachments,authenticated,TRIGGER
proposal_attachments,authenticated,TRUNCATE
proposal_attachments,authenticated,UPDATE
proposal_attachments,service_role,DELETE
proposal_attachments,service_role,INSERT
proposal_attachments,service_role,REFERENCES
proposal_attachments,service_role,SELECT
proposal_attachments,service_role,TRIGGER
proposal_attachments,service_role,TRUNCATE
proposal_attachments,service_role,UPDATE
service_contracts,anon,DELETE
service_contracts,anon,INSERT
service_contracts,anon,REFERENCES
service_contracts,anon,SELECT
service_contracts,anon,TRIGGER
service_contracts,anon,TRUNCATE
service_contracts,anon,UPDATE
service_contracts,authenticated,DELETE
service_contracts,authenticated,INSERT
service_contracts,authenticated,REFERENCES
service_contracts,authenticated,SELECT
service_contracts,authenticated,TRIGGER
service_contracts,authenticated,TRUNCATE
service_contracts,authenticated,UPDATE
service_contracts,service_role,DELETE
service_contracts,service_role,INSERT
service_contracts,service_role,REFERENCES
service_contracts,service_role,SELECT
service_contracts,service_role,TRIGGER
service_contracts,service_role,TRUNCATE
service_contracts,service_role,UPDATE
service_documents,anon,DELETE
service_documents,anon,INSERT
service_documents,anon,REFERENCES
service_documents,anon,SELECT
service_documents,anon,TRIGGER
service_documents,anon,TRUNCATE
service_documents,anon,UPDATE
service_documents,authenticated,DELETE
service_documents,authenticated,INSERT
service_documents,authenticated,REFERENCES
service_documents,authenticated,SELECT
service_documents,authenticated,TRIGGER
service_documents,authenticated,TRUNCATE
service_documents,authenticated,UPDATE
service_documents,service_role,DELETE
service_documents,service_role,INSERT
service_documents,service_role,REFERENCES
service_documents,service_role,SELECT
service_documents,service_role,TRIGGER
service_documents,service_role,TRUNCATE
service_documents,service_role,UPDATE
service_schedules,anon,DELETE
service_schedules,anon,INSERT
service_schedules,anon,REFERENCES
service_schedules,anon,SELECT
service_schedules,anon,TRIGGER
service_schedules,anon,TRUNCATE
service_schedules,anon,UPDATE
service_schedules,authenticated,DELETE
service_schedules,authenticated,INSERT
service_schedules,authenticated,REFERENCES
service_schedules,authenticated,SELECT
service_schedules,authenticated,TRIGGER
service_schedules,authenticated,TRUNCATE
service_schedules,authenticated,UPDATE
service_schedules,service_role,DELETE
service_schedules,service_role,INSERT
service_schedules,service_role,REFERENCES
service_schedules,service_role,SELECT
service_schedules,service_role,TRIGGER
service_schedules,service_role,TRUNCATE
service_schedules,service_role,UPDATE
service_visits,anon,DELETE
service_visits,anon,INSERT
service_visits,anon,REFERENCES
service_visits,anon,SELECT
service_visits,anon,TRIGGER
service_visits,anon,TRUNCATE
service_visits,anon,UPDATE
service_visits,authenticated,DELETE
service_visits,authenticated,INSERT
service_visits,authenticated,REFERENCES
service_visits,authenticated,SELECT
service_visits,authenticated,TRIGGER
service_visits,authenticated,TRUNCATE
service_visits,authenticated,UPDATE
service_visits,service_role,DELETE
service_visits,service_role,INSERT
service_visits,service_role,REFERENCES
service_visits,service_role,SELECT
service_visits,service_role,TRIGGER
service_visits,service_role,TRUNCATE
service_visits,service_role,UPDATE
sla_breaches,anon,DELETE
sla_breaches,anon,INSERT
sla_breaches,anon,REFERENCES
sla_breaches,anon,SELECT
sla_breaches,anon,TRIGGER
sla_breaches,anon,TRUNCATE
sla_breaches,anon,UPDATE
sla_breaches,authenticated,DELETE
sla_breaches,authenticated,INSERT
sla_breaches,authenticated,REFERENCES
sla_breaches,authenticated,SELECT
sla_breaches,authenticated,TRIGGER
sla_breaches,authenticated,TRUNCATE
sla_breaches,authenticated,UPDATE
sla_breaches,service_role,DELETE
sla_breaches,service_role,INSERT
sla_breaches,service_role,REFERENCES
sla_breaches,service_role,SELECT
sla_breaches,service_role,TRIGGER
sla_breaches,service_role,TRUNCATE
sla_breaches,service_role,UPDATE
sla_rules,anon,DELETE
sla_rules,anon,INSERT
sla_rules,anon,REFERENCES
sla_rules,anon,SELECT
sla_rules,anon,TRIGGER
sla_rules,anon,TRUNCATE
sla_rules,anon,UPDATE
sla_rules,authenticated,DELETE
sla_rules,authenticated,INSERT
sla_rules,authenticated,REFERENCES
sla_rules,authenticated,SELECT
sla_rules,authenticated,TRIGGER
sla_rules,authenticated,TRUNCATE
sla_rules,authenticated,UPDATE
sla_rules,service_role,DELETE
sla_rules,service_role,INSERT
sla_rules,service_role,REFERENCES
sla_rules,service_role,SELECT
sla_rules,service_role,TRIGGER
sla_rules,service_role,TRUNCATE
sla_rules,service_role,UPDATE